"STATION","NAME","DATE","AWND","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-08","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-09","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-10","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-11","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-12","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-17","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-19","1.34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-20","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-21","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-22","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-23","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-24","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-25","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-26","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-27","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-28","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-29","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-30","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-31","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-01","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-02","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-03","1.34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-04","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-05","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-06","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-07","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-08","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-09","8.95",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-10","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-11","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-12","8.05",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-13","7.38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-14","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-15","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-16","1.79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-17","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-18","2.68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-19","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-20","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-21","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-22","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-23","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-24","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-25","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-26","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-27","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-28","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-29","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06-30","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-01","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-02","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-03","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-04","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-05","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-06","2.46",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-07","2.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07-08","5.37",
